Метод,x,y,Погрешность
Runge-Kutta 4-го порядка,3.734375,18.025979359944614,0.0
Runge-Kutta 4-го порядка,3.7421875,18.13515710830684,0.0
Runge-Kutta 4-го порядка,3.75,18.24479166666662,0.0
Runge-Kutta 4-го порядка,3.7578125,18.35488398869828,0.0
Runge-Kutta 4-го порядка,3.765625,18.46543502807613,0.0
Runge-Kutta 4-го порядка,3.7734375,18.576445738474487,0.0
Runge-Kutta 4-го порядка,3.78125,18.687917073567668,0.0
Runge-Kutta 4-го порядка,3.7890625,18.79984998702999,0.0
Runge-Kutta 4-го порядка,3.796875,18.91224543253577,0.0
Runge-Kutta 4-го порядка,3.8046875,19.025104363759322,0.0
Runge-Kutta 4-го порядка,3.8125,19.138427734374964,0.0
Runge-Kutta 4-го порядка,3.8203125,19.252216498057013,0.0
Runge-Kutta 4-го порядка,3.828125,19.366471608479785,0.0
Runge-Kutta 4-го порядка,3.8359375,19.481194019317595,0.0
Runge-Kutta 4-го порядка,3.84375,19.59638468424476,0.0
Runge-Kutta 4-го порядка,3.8515625,19.7120445569356,0.0
Runge-Kutta 4-го порядка,3.859375,19.828174591064425,0.0
Runge-Kutta 4-го порядка,3.8671875,19.944775740305555,0.0
Runge-Kutta 4-го порядка,3.875,20.061848958333307,0.0
Runge-Kutta 4-го порядка,3.8828125,20.179395198821997,0.0
Runge-Kutta 4-го порядка,3.890625,20.29741541544594,0.0
Runge-Kutta 4-го порядка,3.8984375,20.415910561879453,0.0
Runge-Kutta 4-го порядка,3.90625,20.534881591796854,0.0
Runge-Kutta 4-го порядка,3.9140625,20.654329458872457,0.0
Runge-Kutta 4-го порядка,3.921875,20.77425511678058,0.0
Runge-Kutta 4-го порядка,3.92578125,20.83439741532006,0.0
Runge-Kutta 4-го порядка,3.9296875,20.894659519195535,0.0
Runge-Kutta 4-го порядка,3.93359375,20.9550415476163,0.0
Runge-Kutta 4-го порядка,3.9375,21.015543619791643,0.0
Runge-Kutta 4-го порядка,3.94140625,21.076165854930853,0.0
Runge-Kutta 4-го порядка,3.9453125,21.13690837224322,0.0
Runge-Kutta 4-го порядка,3.94921875,21.197771290938032,0.0
Runge-Kutta 4-го порядка,3.953125,21.25875473022458,0.0
Runge-Kutta 4-го порядка,3.95703125,21.319858809312155,0.0
Runge-Kutta 4-го порядка,3.9609375,21.381083647410044,0.0
Runge-Kutta 4-го порядка,3.96484375,21.442429363727538,0.0
Runge-Kutta 4-го порядка,3.96875,21.503896077473925,0.0
Runge-Kutta 4-го порядка,3.97265625,21.565483907858496,0.0
Runge-Kutta 4-го порядка,3.9765625,21.62719297409054,0.0
Runge-Kutta 4-го порядка,3.98046875,21.689023395379348,0.0
Runge-Kutta 4-го порядка,3.984375,21.750975290934207,0.0
Runge-Kutta 4-го порядка,3.98828125,21.813048779964408,0.0
Runge-Kutta 4-го порядка,3.9921875,21.87524398167924,0.0
Runge-Kutta 4-го порядка,3.99609375,21.937561015287994,0.0
Runge-Kutta 4-го порядка,4.0,21.999999999999957,0.0
Runge-Kutta 4-го порядка,4.00390625,22.06256105502442,0.0
Runge-Kutta 4-го порядка,4.0078125,22.125244299570674,0.0
Runge-Kutta 4-го порядка,4.01171875,22.188049852848007,0.0
Runge-Kutta 4-го порядка,4.015625,22.250977834065708,0.0
Runge-Kutta 4-го порядка,4.01953125,22.314028362433067,0.0
Runge-Kutta 4-го порядка,4.0234375,22.377201557159374,0.0
Runge-Kutta 4-го порядка,4.02734375,22.44049753745392,0.0
Runge-Kutta 4-го порядка,4.03125,22.50391642252599,0.0
Runge-Kutta 4-го порядка,4.03515625,22.567458331584877,0.0
Runge-Kutta 4-го порядка,4.0390625,22.63112338383987,0.0
Runge-Kutta 4-го порядка,4.04296875,22.69491169850026,0.0
Runge-Kutta 4-го порядка,4.046875,22.758823394775334,0.0
Runge-Kutta 4-го порядка,4.05078125,22.822858591874382,0.0
Runge-Kutta 4-го порядка,4.0546875,22.887017409006695,0.0
Runge-Kutta 4-го порядка,4.05859375,22.951299965381562,0.0
Runge-Kutta 4-го порядка,4.0625,23.01570638020827,0.0
Runge-Kutta 4-го порядка,4.06640625,23.080236772696114,0.0
Runge-Kutta 4-го порядка,4.0703125,23.14489126205438,0.0
Runge-Kutta 4-го порядка,4.07421875,23.209669967492356,0.0
Runge-Kutta 4-го порядка,4.078125,23.274573008219335,0.0
Runge-Kutta 4-го порядка,4.08203125,23.339600503444604,0.0
Runge-Kutta 4-го порядка,4.0859375,23.404752572377454,0.0
Runge-Kutta 4-го порядка,4.08984375,23.470029334227174,0.0
Runge-Kutta 4-го порядка,4.09375,23.535430908203054,0.0
Runge-Kutta 4-го порядка,4.09765625,23.600957413514383,0.0
Runge-Kutta 4-го порядка,4.1015625,23.66660896937045,0.0
Runge-Kutta 4-го порядка,4.10546875,23.732385694980547,0.0
Runge-Kutta 4-го порядка,4.109375,23.79828770955396,0.0
Runge-Kutta 4-го порядка,4.11328125,23.864315132299982,0.0
Runge-Kutta 4-го порядка,4.1171875,23.9304680824279,0.0
Runge-Kutta 4-го порядка,4.12109375,23.996746679147005,0.0
Runge-Kutta 4-го порядка,4.125,24.063151041666586,0.0
Runge-Kutta 4-го порядка,4.12890625,24.129681289195933,0.0
Runge-Kutta 4-го порядка,4.1328125,24.196337540944334,0.0
Runge-Kutta 4-го порядка,4.13671875,24.26311991612108,0.0
Runge-Kutta 4-го порядка,4.140625,24.33002853393546,0.0
Runge-Kutta 4-го порядка,4.14453125,24.397063513596766,0.0
Runge-Kutta 4-го порядка,4.1484375,24.464224974314284,0.0
Runge-Kutta 4-го порядка,4.15234375,24.531513035297305,0.0
Runge-Kutta 4-го порядка,4.15625,24.59892781575512,0.0
Runge-Kutta 4-го порядка,4.16015625,24.666469434897014,0.0
Runge-Kutta 4-го порядка,4.1640625,24.73413801193228,0.0
Runge-Kutta 4-го порядка,4.16796875,24.80193366607021,0.0
Runge-Kutta 4-го порядка,4.171875,24.869856516520088,0.0
Runge-Kutta 4-го порядка,4.17578125,24.937906682491207,0.0
Runge-Kutta 4-го порядка,4.1796875,25.006084283192855,0.0
Runge-Kutta 4-го порядка,4.18359375,25.074389437834324,0.0
Runge-Kutta 4-го порядка,4.1875,25.1428222656249,0.0
Runge-Kutta 4-го порядка,4.19140625,25.211382885773876,0.0
Runge-Kutta 4-го порядка,4.1953125,25.28007141749054,0.0
Runge-Kutta 4-го порядка,4.19921875,25.34888797998418,0.0
Runge-Kutta 4-го порядка,4.203125,25.41783269246409,0.0
Runge-Kutta 4-го порядка,4.20703125,25.486905674139553,0.0
Runge-Kutta 4-го порядка,4.2109375,25.556107044219864,0.0
Runge-Kutta 4-го порядка,4.21484375,25.62543692191431,0.0
Runge-Kutta 4-го порядка,4.21875,25.694895426432183,0.0
Runge-Kutta 4-го порядка,4.22265625,25.76448267698277,0.0
Runge-Kutta 4-го порядка,4.2265625,25.83419879277536,0.0
Runge-Kutta 4-го порядка,4.23046875,25.904043893019246,0.0
Runge-Kutta 4-го порядка,4.234375,25.974018096923714,0.0
Runge-Kutta 4-го порядка,4.23828125,26.044121523698056,0.0
Runge-Kutta 4-го порядка,4.2421875,26.11435429255156,0.0
Runge-Kutta 4-го порядка,4.24609375,26.184716522693517,0.0
Runge-Kutta 4-го порядка,4.25,26.255208333333215,0.0
Runge-Kutta 4-го порядка,4.25390625,26.325829843679944,0.0
Runge-Kutta 4-го порядка,4.2578125,26.396581172942994,0.0
Runge-Kutta 4-го порядка,4.26171875,26.467462440331655,0.0
Runge-Kutta 4-го порядка,4.265625,26.538473765055215,0.0
Runge-Kutta 4-го порядка,4.26953125,26.609615266322965,0.0
Runge-Kutta 4-го порядка,4.2734375,26.680887063344194,0.0
Runge-Kutta 4-го порядка,4.27734375,26.75228927532819,0.0
Runge-Kutta 4-го порядка,4.28125,26.823822021484247,0.0
